PX_CD,PX_HSDW_SHORT_DESC,PX_HSDW_LONG_DESC
00625,anes spine tranthor w/o vent,"anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing one lung ventilation"
00626,"anes, spine transthor w/vent","anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing one lung ventilation"
0062T,rep intradisc annulus;1 lev,"percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; single level"
00630,"anesth, spine, cord surgery",anesthesia for procedures in lumbar region; not otherwise specified
00632,"anesth, removal of nerves",anesthesia for procedures in lumbar region; lumbar sympathectomy
00634,anesth for chemonucleolysis,anesthesia for procedures in lumbar region; chemonucleolysis
00635,"anesth, lumbar puncture",anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture
0063T,rep intradisc annulus;>1lev,"percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; 1 or more additional levels (list separately in addition to 0062t for primary procedure)"
00640,"anesth, spine manipulation","anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine"
0064T,spectroscop eval expired gas,"spectroscopy, expired gas analysis (eg, nitric oxide/carbon dioxide test)"
0065T,ocular photoscreen bilat,"ocular photoscreening, with interpretation and report, bilateral"
0066T,ct colonography;screen,"computed tomographic (ct) colonography (ie, virtual colonoscopy); screening"
00670,"anesth, spine, cord surgery","anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)"
0067T,ct colonography;dx,"computed tomographic (ct) colonography (ie, virtual colonoscopy); diagnostic"
0068T,interp/rept heart sound,acoustic heart sound recording and computer analysis; with interpretation and report
0069T,analysis only heart sound,acoustic heart sound recording and computer analysis; acoustic heart sound recording and computer analysis only
00700,"anesth, abdominal wall surg",anesthesia for procedures on upper anterior abdominal wall; not otherwise specified
00702,"anesth, for liver biopsy",anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy
0070T,interp only heart sound,acoustic heart sound recording and computer analysis; interpretation and report only
0071T,u/s leiomyomata ablate <200,"focused ultrasound ablation of uterine leiomyomata, including mr guidance; total leiomyomata volume less than 200 cc of tissue"
0072T,u/s leiomyomata ablate >200,"focused ultrasound ablation of uterine leiomyomata, including mr guidance; total leiomyomata volume greater or equal to 200 cc of tissue"
00730,"anesth, abdominal wall surg",anesthesia for procedures on upper posterior abdominal wall
0073T,"delivery, comp imrt","compensator-based beam modulation treatment delivery of inverse planned treatment using 3 or more high resolution (milled or cast) compensator convergent beam modulated fields, per treatment session"
00740,"anesth, upper gi visualize","anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum"
0074T,online physician e/m,"online evaluation and management service, per encounter, provided by a physician, using the internet or similar electronic communications network, in response to a patient's request, established patient"
00750,"anesth, repair of hernia",anesthesia for hernia repairs in upper abdomen; not otherwise specified
00752,"anesth, repair of hernia",anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence
00754,"anesth, repair of hernia",anesthesia for hernia repairs in upper abdomen; omphalocele
00756,"anesth, repair of hernia",anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia
0075T,perq stent/chest vert art,"transcatheter placement of extracranial vertebral or intrathoracic carotid artery stent(s), including radiologic supervision and interpretation, percutaneous; initial vessel"
0076T,s&i stent/chest vert art,"transcatheter placement of extracranial vertebral or intrathoracic carotid artery stent(s), including radiologic supervision and interpretation, percutaneous; each additional vessel (list separately in addition to code for primary procedure)"
00770,"anesth, blood vessel repair",anesthesia for all procedures on major abdominal blood vessels
0077T,cereb therm perfusion probe,"implanting and securing cerebral thermal perfusion probe, including twist drill or burr hole, to measure absolute cerebral tissue perfusion"
0078T,endovasc aort repr w/device,"endovascular repair using prosthesis of abdominal aortic aneurysm, pseudoaneurysm or dissection, abdominal aorta involving visceral branches (superior mesenteric, celiac and/or renal artery(s))"
00790,"anesth, surg upper abdomen",anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified
00792,"anesth, hemorr/excise liver",anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy)
00794,"anesth, pancreas removal","anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, partial or total (eg, whipple procedure)"
00796,"anesth, for liver transplant",anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; liver transplant (recipient)
00797,"anesth, surgery for obesity",anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity
0079T,endovasc visc extnsn repr,"placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch (list separately in addition to code for primary procedure)"
00800,"anesth, abdominal wall surg",anesthesia for procedures on lower anterior abdominal wall; not otherwise specified
00802,"anesth, fat layer removal",anesthesia for procedures on lower anterior abdominal wall; panniculectomy
0080T,endovasc aort repr rad s&i,"endovascular repair of abdominal aortic aneurysm, pseudoaneurysm or dissection, abdominal aorta involving visceral vessels (superior mesenteric, celiac or renal), using fenestrated modular bifurcated prosthesis (2 docking limbs), radiological supervision and interpretation"
00810,"anesth, low intestine scope","anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum"
0081T,endovasc visc extnsn s&i,"placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch, radiological supervision and interpretation (list separately in addition to code for primary procedure)"
00820,"anesth, abdominal wall surg",anesthesia for procedures on lower posterior abdominal wall
0082T,stereotactic rad delivery,"stereotactic body radiation therapy, treatment delivery, one or more treatment areas, per day"
00830,"anesth, repair of hernia",anesthesia for hernia repairs in lower abdomen; not otherwise specified
00832,"anesth, repair of hernia",anesthesia for hernia repairs in lower abdomen; ventral and incisional hernias
00834,"anesth, hernia repair< 1 yr","anesthesia for hernia repairs in the lower abdomen not otherwise specified, younger than 1 year of age"
00836,anesth hernia repair preemie,"anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery"
0083T,stereotactic rad tx mngmt,"stereotactic body radiation therapy, treatment management, per day"
00840,"anesth, surg lower abdomen",anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; not otherwise specified
00842,"anesth, amniocentesis",anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; amniocentesis
00844,"anesth, pelvis surgery",anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; abdominoperineal resection
00846,"anesth, hysterectomy",anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; radical hysterectomy
00848,"anesth, pelvic organ surg",anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; pelvic exenteration
